filename,path,doc_type,confidence,method
Employee_Proprietary_Information_and_Innovation_Agreement_Exit_Statement.pdf,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\Employers\Sandia National Laboratories\Employee_Proprietary_Information_and_Innovation_Agreement_Exit_Statement.pdf,legal_document,0.9,pattern_override
Resume(LABS).01.09.pdf,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\Employers\Sandia National Laboratories\Resume(LABS).01.09.pdf,personal_career,0.95,pattern_override
Product Design Team.docx,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\Employers\Sandia National Laboratories\Notes\Product Design Team.docx,design_document,0.9,pattern_override
resume-cv_20200109.docx,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\Employment 2\^Resumes\Archive\resume-cv_20200109.docx,personal_career,0.95,pattern_override
Resume(OS).01.07.docx,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\^Resumes\Archive\Resume(OS).01.07.docx,personal_career,0.95,pattern_override
resume_0290.docx,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\^Resumes\Archive\resume_0290.docx,personal_career,0.95,pattern_override
Resume_CV_0289.pdf,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\^Resumes\Archive\Resume_CV_0289.pdf,personal_career,0.95,pattern_override
Resume_CV_v2.Mar16.pdf,.ifmos\training_sample\20_Professional\Employment\History\Previous_Employment\^Resumes\Archive\Resume_CV_v2.Mar16.pdf,personal_career,0.95,pattern_override
Logo-Black-101px-TM_1.png,.ifmos\training_sample\30_Business\Logo-Black-101px-TM_1.png,media_graphic,0.9,pattern_override
Logo-White-89px-R_1.png,.ifmos\training_sample\30_Business\Logo-White-89px-R_1.png,media_graphic,0.9,pattern_override
2025-06-11_tax_assessment_understanding_your_nov_insert.pdf,.ifmos\training_sample\30_Business\Real_Estate\Properties\4439_Prairie_Loft\Tax_Assessment\Notice_of_Value\2025-06-11_tax_assessment_understanding_your_nov_insert.pdf,financial_document,0.95,pattern_override
2021-01-01_tax_mortgage_interest_statement_2021_{central_loan_admin}.pdf,.ifmos\training_sample\40_Finance\Personal\Tax_Documents\1098\2021-01-01_tax_mortgage_interest_statement_2021_{central_loan_admin}.pdf,financial_document,0.95,pattern_override
Tax Bill 10916 HANALEI AVE NE.pdf,.ifmos\training_sample\40_Finance\Tax Reporting\CY22\Tax Bills\Tax Bill 10916 HANALEI AVE NE.pdf,financial_document,0.95,pattern_override
Statement 2023_09_08.pdf,.ifmos\training_sample\40_Finance\Wage & Salary\Paystubs\Keeda Inc\Statement 2023_09_08.pdf,financial_document,0.95,pattern_override
Implement-FileNamingScheme_1.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251108-123744\OneDrive-Scripts\PowerShell\Implement-FileNamingScheme_1.ps1,technical_script,0.98,pattern_override
system-analysis-complete.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251108-123744\OneDrive-Scripts\PowerShell\system-analysis-complete.ps1,technical_script,0.98,pattern_override
Invoke-ProjectCleanup.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251108-123744\OneDrive-Scripts\Projects\PowerShell-Dev-Workspace\Invoke-ProjectCleanup.ps1,technical_script,0.98,pattern_override
session-20251105-140648.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251108-123744\session-manager\notes\session-20251105-140648.md,technical_documentation,0.9,pattern_override
memory-suggest.md,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251108-133450\commands\memory-suggest.md,technical_documentation,0.9,pattern_override
Repair-BluetoothStack.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251108-133450\OneDrive-Scripts\PowerShell\Repair-BluetoothStack.ps1,technical_script,0.98,pattern_override
New-FileInventory.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251108-133450\OneDrive-Scripts\Projects\OneDrive-Reorganization\New-FileInventory.ps1,technical_script,0.98,pattern_override
Search-Wiki.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251110-191121\OneDrive-Scripts\Projects\PowerShell-Dev-Workspace\Search-Wiki.ps1,technical_script,0.98,pattern_override
Start-LiveReviewConsole.ps1,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251110-191121\OneDrive-Scripts\Tools\LiveReviewConsole\Start-LiveReviewConsole.ps1,technical_script,0.98,pattern_override
report-20251108-013857.json,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251110-191121\session-manager\health-reports\report-20251108-013857.json,technical_config,0.98,pattern_override
report-20251108-053603.json,.ifmos\training_sample\50_Knowledge\AI\Claude\ClaudeConfig_Backup_20251115_202612\Projects\kjfle\backups\backup-20251110-191121\session-manager\health-reports\report-20251108-053603.json,technical_config,0.98,pattern_override
