file_path,document_type,confidence,method
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0000.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0001.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0002.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0003.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0004.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0005.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0006.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0007.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0008.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0009.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0010.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0011.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0012.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0013.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0014.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0015.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0016.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0017.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0018.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0019.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0020.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0021.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0022.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0023.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0024.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0025.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0026.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0027.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0028.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0029.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0030.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0031.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0032.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0033.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0034.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0035.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0036.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0037.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0038.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0039.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0040.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0041.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0042.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0043.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0044.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0045.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0046.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0047.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0048.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0049.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0050.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0051.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0052.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0053.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0054.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0055.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0056.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0057.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0058.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0059.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0060.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0061.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0062.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0063.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0064.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0065.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0066.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0067.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0068.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0069.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0070.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0071.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0072.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0073.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0074.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0075.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0076.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0077.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0078.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0079.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0080.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0081.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0082.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0083.7z,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0084.rar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0085.tar,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0086.zip,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0087.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0088.gz,archive,1.0,synthetic
C:\Users\kjfle\.projects\intelligent-file-management-system\synthetic_data\archive\archive_0089.gz,archive,1.0,synthetic
